date,price,demand,1_lag_pred,fsa,avg_cloudCover,avg_daytime,avg_dewPoint,avg_feelslikemax,avg_feelslikemin,avg_humidity,avg_moonPhase,avg_precipIntensity,avg_precipProbability,avg_pressure,avg_tempmax,avg_tempmin,avg_uvIndex,avg_visibility,avg_windBearing,avg_windGust,avg_windSpeed,avg_temp
2020-01-01,0.5752173913043478,324937,2.4013636363636364,1,98.52797619047621,8.974713955026457,43.836309523809526,48.29642857142858,31.42500000000002,93.88154761904764,0.3299999999999988,0.8426547619047627,98.8095238095238,1010.4886904761888,49.18690476190477,38.87083333333333,0.2380952380952381,3.547023809523812,314.4749999999998,23.861904761904803,14.66190476190476,5.15803571428572
2020-01-02,0.00999999999999999,362395,0.31,1,14.463988095238092,8.994456018518516,29.684523809523824,36.263095238095225,19.54553571428571,81.84684523809524,0.7600000000000022,0.09181547619047624,90.4761904761905,1016.2988095238106,37.80089285714284,28.814880952380964,0.8988095238095238,144.71785714285713,179.64374999999993,24.72926829268287,18.124107142857138,4.493005952380939
2020-01-03,16.015000000000004,369431,11.03875,1,15.275000000000004,9.009131944444446,21.596428571428564,28.911607142857147,12.476190476190483,78.6505654761905,0.7800000000000009,0.2985416666666668,91.07142857142857,1014.9952380952368,32.570238095238125,22.441071428571423,0.7678571428571429,145.77976190476195,260.73392857142846,27.255147058823518,16.108035714285727,5.064583333333351
2020-01-04,15.604583333333332,361928,16.43083333333333,1,10.915773809523811,9.024989252645504,17.761607142857137,27.50238095238095,9.35476190476191,75.30633928571422,0.2999999999999993,0.033928571428571495,49.10714285714285,1021.100297619046,29.132440476190467,20.215773809523803,0.9761904761904762,147.65505952380948,205.25833333333327,20.224596774193593,12.71279761904762,4.458333333333332
2020-01-05,5.554166666666667,359417,10.533333333333333,1,12.485416666666662,9.042003968253967,24.571130952380948,34.16041666666667,17.693452380952387,77.40770833333332,0.33500000000000074,0.00020833333333333327,0.5952380952380952,1018.8303571428568,34.87946428571432,26.74583333333334,1.2678571428571428,147.27738095238095,220.97529761904758,23.83333333333333,12.09791666666667,4.06681547619049
2020-01-06,3.6008333333333327,387643,8.7675,1,16.018154761904768,9.060192625661376,28.211607142857147,34.3770833333333,18.332738095238103,78.0638392857143,0.375,0.010059523809523813,48.80952380952381,1009.5976190476188,37.06071428571424,29.094940476190466,0.7440476190476191,137.94970238095254,165.07321428571433,27.8,17.03809523809524,3.9828869047618873
2020-01-07,8.055416666666668,390234,11.419166666666664,1,13.486607142857142,9.079526289682539,19.925595238095227,26.369642857142853,13.753273809523813,70.31488095238099,0.42499999999999866,0.00011904761904761905,1.1904761904761905,1017.6175595238092,32.10744047619045,25.47083333333333,1.2053571428571428,104.94017857142859,281.2083333333333,28.92515723270445,17.538392857142842,3.318303571428558
2020-01-08,7.94,403730,6.009583333333333,1,9.472619047619053,9.099958664021162,14.204464285714275,21.90267857142858,7.204761904761902,68.08833333333337,0.4799999999999998,0.0005952380952380952,0.8928571428571429,1022.8832335329347,28.65476190476189,18.565773809523805,1.613095238095238,80.6042168674699,289.0770833333331,27.162500000000005,16.40892857142857,5.044494047619043
2020-01-09,12.618333333333332,419022,15.509166666666665,1,9.24136904761905,9.121515376984133,12.177380952380956,28.505059523809518,1.0041666666666669,67.49657738095239,0.5300000000000009,0.0008928571428571429,1.488095238095238,1026.2616071428554,31.065178571428564,12.894642857142852,1.6279761904761905,91.44404761904758,196.17291666666668,21.550000000000004,12.422023809523811,9.085267857142856
2020-01-10,10.229583333333334,392960,5.1425,1,11.698809523809526,9.144149305555556,19.665178571428573,35.00238095238097,11.038392857142851,62.79339285714285,0.5799999999999986,0.008749999999999975,42.55952380952381,1018.6366071428548,38.55595238095232,24.18511904761905,1.3601190476190477,149.93898809523813,286.67202380952364,31.308881578947357,20.58244047619048,7.185416666666635
2020-01-11,6.282083333333333,370955,5.858333333333333,1,12.311309523809525,9.167838128306876,15.028571428571428,21.403571428571443,6.205654761904763,69.91401785714288,0.6200000000000011,0.000863095238095238,2.083333333333333,1024.466071428572,27.80714285714282,17.704464285714256,1.3303571428571428,149.78541666666663,276.3943452380953,23.35,17.344940476190473,5.051339285714283
2020-01-12,16.352916666666665,384230,9.142499999999998,1,12.560119047619047,9.192548776455027,11.724107142857134,23.82976190476189,-0.5226190476190474,71.90738095238095,0.6599999999999976,0.0006845238095238097,1.1904761904761905,1026.643750000001,30.310714285714283,11.409821428571432,0.9520958083832336,149.21398809523805,227.85684523809516,28.161000000000005,21.574107142857127,9.450446428571425
2020-01-13,20.048750000000002,411562,20.649166666666662,1,15.319345238095243,9.21829117063492,24.58601190476191,29.8738095238095,16.47113095238095,75.30705357142857,0.6899999999999985,0.004523809523809527,44.345238095238095,1016.506547619047,33.610119047619065,28.14107142857143,0.75,147.941369047619,249.4160714285715,30.09020979020981,18.661309523809518,2.734523809523818
2020-01-14,14.383333333333331,402884,18.519166666666667,1,14.443154761904767,9.245022321428568,28.48898809523809,34.86875000000001,22.57023809523808,81.65306547619045,0.20499999999999916,0.0005059523809523809,2.6785714285714284,1012.4038690476184,36.39464285714283,30.421130952380967,1.1428571428571428,146.65684523809531,206.0919642857143,20.45745341614905,12.767857142857142,2.98675595238093
2020-01-15,13.211666666666666,396311,17.15666666666667,1,11.586607142857142,9.27273892195767,18.577976190476193,34.155952380952385,8.887500000000003,68.66526785714284,0.2299999999999998,0.0002380952380952381,0.2976190476190476,1015.7946428571432,35.58541666666671,18.506249999999987,1.3511904761904765,146.74464285714276,182.677380952381,23.7875,12.649107142857149,8.539583333333361
